Number_of_Bulges,Number_of_Loops,Number_of_Junctions,Number_of_Helices,Number_of_Bonds,Abstract shape Lev5,Shape counts,Total Shapes,Shannons Entropy H,2^H
1,2,0,7,26,"['[][]' '[[][]]' '[][]' '[][][]' '[][][]' '[][]' '[]' '[[][]]' '[][]'
 '[][]' '[]' '[[][][]]' '[][]' '[[][]]' '[[][]]' '[][]' '[]' '[][]'
 '[[][]][]' '[]' '[][][]' '[[][][]]' '[][[][]]' '[[][]][]' '[][]' '[][][]'
 '[][]' '[[][]]' '[[][]][]' '[][][]' '[[][][]]' '[][]' '[][]' '[][]' '[]'
 '[[][][]]' '[][[][]]' '[[][]]' '[][]' '[][][]' '[[][]]' '[[][][]]' '[][]'
 '[][][][]' '[][][]' '[[][][]]' '[][]' '[[][]]' '[[][][][]]' '[][]'
 '[][][]' '[[][][]]' '[][]' '[[][][]]' '[][]' '[][]' '[]' '[][]'
 '[][][][]' '[][]' '[][]' '[[][]]' '[][][]' '[][]' '[[][]]' '[]' '[[][]]'
 '[][]' '[][][][]' '[][]' '[[][]]' '[]' '[]' '[][]' '[]' '[[][]]' '[][]'
 '[[][]]' '[][]' '[[][]]' '[][]' '[]' '[[][]]' '[[][]]' '[[][]]' '[][]'
 '[][]' '[][]' '[][[][][]]' '[[][]][]' '[]' '[]' '[][]' '[][]' '[][]'
 '[[][]][]' '[][]' '[][]' '[[][][]][]' '[[][][][]]' '[][][]' '[[][]]'
 '[][]' '[][]' '[][]' '[][]' '[[][]]' '[][][]' '[][][][]' '[][]'
 '[[][][][]]' '[]' '[][][]' '[][][][]' '[][][]' '[][]' '[][]' '[][][]'
 '[][][]' '[[][]]' '[][][]' '[][][]' '[][]' '[]' '[[][][]]' '[][]' '[]'
 '[][]' '[][][]' '[][]' '[][]' '[]' '[[][]]' '[[][][]]' '[[][]]'
 '[[][][]]' '[][]' '[][][]' '[]' '[][][]' '[][][]' '[][]' '[]' '[]' '[][]'
 '[[][]]' '[][][]' '[]' '[][]' '[][]' '[][]' '[][][][]' '[[][]]' '[][]'
 '[[][]]']"," '[][]': 57, '[[][]]': 26, '[][][]': 22, '[]': 21, '[[][][]]': 11, '[][][][]': 6, '[[][]][]': 5, '[[][][][]]': 3, '[][[][]]': 2, '[][[][][]]': 1, '[[][][]][]': 1 ",155,2.650573594,6.279168791
1,2,0,7,25,"['[][][]' '[][][]' '[][[][]]' '[[][]]' '[[][][][]]' '[][]' '[[][][]]'
 '[][]' '[]' '[][[][][]]' '[][]' '[][][]' '[[][][]]' '[][]' '[[][]][]'
 '[[][]]' '[][][][]' '[][]' '[[][]]' '[][]' '[][][]' '[][]' '[[][]]'
 '[][]' '[][][]' '[[][]]' '[][]' '[][][]' '[][]' '[[][]]' '[][]' '[[][]]'
 '[]' '[][]' '[][]' '[[][][]]' '[][]' '[]' '[][][]' '[][]' '[]' '[[][]]'
 '[][][]' '[[][]]' '[[][]]' '[][][]' '[[][]]' '[[][]]' '[[][][]]' '[][][]'
 '[]' '[][]' '[][]' '[][][]' '[][]' '[]' '[]' '[][][]' '[[][]][]' '[][]'
 '[][][]' '[][]' '[]' '[]' '[][[][]]' '[[][][]]' '[][]' '[[][]]'
 '[[][]][]' '[[][][]]' '[][]' '[]' '[][][][]' '[][]' '[][]' '[[][][]]'
 '[][][]' '[][][]' '[][][][]' '[][]' '[][]' '[[][][]]' '[][]' '[]' '[]'
 '[[][]][]' '[][]' '[[][]][]' '[][][][]' '[][]' '[][]' '[][][]' '[][]'
 '[][][]' '[][][]' '[][]' '[[][]]' '[][]' '[][]' '[][]' '[][]' '[[][][]]'
 '[][][]' '[][]' '[]' '[][]' '[[][][]]' '[][][]' '[][]' '[][]' '[][]'
 '[][]' '[][][]' '[]' '[][][]' '[[][]]' '[[][]]' '[][[][]]' '[[][][]]'
 '[]' '[[][]]' '[[][]][]' '[]' '[[][]]' '[[][]]' '[][]' '[][][]' '[][]'
 '[][][]' '[][][]' '[[][][]]' '[]' '[[][]]' '[]' '[[][]][]' '[]' '[]'
 '[][]']"," '[][]': 45, '[][][]': 25, '[[][]]': 20, '[]': 20, '[[][][]]': 12, '[[][]][]': 7, '[][][][]': 4, '[][[][]]': 3, '[[][][][]]': 1, '[][[][][]]': 1 ",138,2.677127067,6.395809935
1,2,0,7,29,"['[[][]]' '[][[][]]' '[[[][]][]]' '[][]' '[[][]]' '[]' '[[][]]' '[][]'
 '[][][]' '[[][]][]' '[[][]][]' '[][][]' '[][][]' '[][]' '[]' '[][]'
 '[[][][]][]' '[[][]]' '[][][]' '[][]' '[][]' '[][]' '[][][]' '[][]'
 '[][][][]' '[][]' '[][]' '[[][][]]' '[][][]' '[][][]' '[][]' '[[][]]'
 '[][][]' '[[][]]' '[][]' '[][]' '[][]' '[][]' '[[][][][]]' '[[][]][][]'
 '[][][]' '[[][]]' '[][]' '[][]' '[]' '[[][]]' '[][][][]' '[]' '[]' '[]'
 '[][][]' '[[][]][]' '[][]' '[][]' '[][]' '[[][]]' '[[][][]][]' '[][][]'
 '[]' '[][]' '[][]' '[][]' '[]' '[[][][][]]' '[[][][]][]' '[][][]'
 '[][][]' '[][][]' '[][]' '[][]' '[][]' '[][]' '[[][][]]' '[][]' '[][]'
 '[[][]]' '[][]' '[[][]]' '[][][]' '[][]' '[][][][]' '[][][]' '[][]'
 '[][]' '[][]' '[][[][]]' '[][]' '[]' '[][]' '[]' '[][][]' '[][]' '[][]'
 '[]' '[[][]]' '[[][][]]' '[]' '[[][][][]]' '[][]' '[][]' '[][][[][]]'
 '[[][][][]]' '[][[][]]' '[[][]][]' '[[][][]][]' '[][][]' '[[][]][]' '[]'
 '[]' '[[][]]' '[]' '[]' '[][[][]]' '[[][]]' '[][]' '[[][][]][]' '[[][]]'
 '[][][]' '[[][]]' '[][]' '[][]' '[[][]][]' '[[][]]' '[][]' '[[][]]' '[]'
 '[][][]' '[[][][]]' '[][][]' '[[][]]' '[]' '[][][][]']"," '[][]': 44, '[][][]': 21, '[[][]]': 19, '[]': 18, '[[][]][]': 6, '[[][][]][]': 5, '[][[][]]': 4, '[][][][]': 4, '[[][][]]': 4, '[[][][][]]': 4, '[[[][]][]]': 1, '[[][]][][]': 1, '[][][[][]]': 1 ",132,2.8978612,7.453206336
1,2,0,7,28,"['[][]' '[[][]]' '[[][][]]' '[][][]' '[[][]]' '[][][]' '[[][]][]'
 '[[][]][]' '[[][][]]' '[[][]]' '[]' '[][][]' '[][][[][]]' '[][]' '[]'
 '[][]' '[[][]][][]' '[][][]' '[[][][]]' '[][][]' '[][][]' '[[][][][]]'
 '[[][]]' '[][]' '[][]' '[][]' '[[][]][]' '[[][]]' '[][]' '[[][][][]]'
 '[[][]]' '[[][][]]' '[]' '[]' '[][][]' '[]' '[][][][]' '[[][]]' '[][][]'
 '[][]' '[][]' '[][]' '[][]' '[]' '[]' '[][]' '[[][[][]]]' '[]' '[][]'
 '[][]' '[[][]][]' '[[][]][]' '[][]' '[][][]' '[][][]' '[]' '[][]'
 '[[][]][]' '[][][]' '[[][][]]' '[][][]' '[]' '[[][]]' '[]' '[][]' '[]'
 '[[][]][]' '[][]' '[][][]' '[][]' '[][]' '[][][]' '[][]' '[[][]]'
 '[[][]]' '[][]' '[[][][]][]' '[][][]' '[][]' '[]' '[[][][]]' '[][]'
 '[][]' '[[][]]' '[][][]' '[][]' '[][[][]]' '[][]' '[][]' '[][]' '[][]'
 '[][]' '[][][]' '[]' '[]' '[[][]]' '[]' '[[][][]]' '[][]' '[]' '[[][][]]'
 '[][]' '[[][]]' '[][][]' '[][]' '[]' '[][]' '[[][]]' '[][][]' '[]' '[]'
 '[][]' '[[][]][]' '[][]' '[]' '[][][][]' '[][]' '[[][]]' '[][][]' '[][]'
 '[][]' '[][][]' '[][]' '[][][]' '[][]' '[[][][][]]' '[][]' '[[][]][]'
 '[][][]' '[]' '[]']"," '[][]': 43, '[][][]': 23, '[]': 23, '[[][]]': 15, '[[][]][]': 9, '[[][][]]': 8, '[[][][][]]': 3, '[][][][]': 2, '[][][[][]]': 1, '[[][]][][]': 1, '[[][[][]]]': 1, '[[][][]][]': 1, '[][[][]]': 1 ",131,2.763951201,6.79254021
1,2,0,6,25,"['[][]' '[[][][]]' '[][]' '[][][]' '[][]' '[]' '[[][][]]' '[[][][][]]'
 '[][]' '[][][]' '[][[][]]' '[][][]' '[][]' '[][]' '[[][]][]' '[][][]'
 '[[][]]' '[][][]' '[][][]' '[][]' '[][]' '[[][]]' '[]' '[[][]]'
 '[][[][]]' '[[][][]]' '[][][]' '[][][]' '[][]' '[]' '[[][]]' '[[][][]][]'
 '[][]' '[[][]]' '[]' '[[][]]' '[][]' '[][][]' '[][]' '[][[][]]' '[][][]'
 '[[][]]' '[[][]]' '[][]' '[][]' '[][][]' '[]' '[][][][]' '[][]' '[][][]'
 '[][]' '[][][]' '[[][]][]' '[][[][]]' '[][][]' '[[][][]]' '[[][]]'
 '[[][][]]' '[]' '[[][]]' '[[][]]' '[][]' '[][]' '[]' '[][][]' '[]'
 '[[][][]]' '[][]' '[[][]][]' '[][]' '[[][][]]' '[[][][]]' '[[][]]'
 '[][][]' '[]' '[][]' '[][][]' '[][[][]]' '[]' '[[][]]' '[[][][]]'
 '[[][]][]' '[][]' '[]' '[][]' '[[][]]' '[][][]' '[]' '[[][]]' '[][]'
 '[][]' '[[][]]' '[][]' '[][][]' '[[][]]' '[]' '[]' '[[][]][]' '[][]'
 '[][][]' '[][][]' '[][][]' '[[][][]]' '[][]' '[[[][]][][]]' '[][][]'
 '[][]' '[[][]]' '[]' '[][]' '[]' '[[][][]]' '[][[][]]' '[[][][][]]'
 '[][][]' '[[][][]][]' '[][]' '[][][]' '[[][]]']"," '[][]': 31, '[][][]': 25, '[[][]]': 19, '[]': 16, '[[][][]]': 11, '[][[][]]': 6, '[[][]][]': 5, '[[][][][]]': 2, '[[][][]][]': 2, '[][][][]': 1, '[[[][]][][]]': 1 ",119,2.831286029,7.117082842
0,2,0,7,28,"['[][]' '[]' '[][][]' '[[][]]' '[][]' '[[[][]][][]]' '[][[][]]' '[[][]][]'
 '[][][][]' '[][][][]' '[[][][]]' '[][]' '[][][]' '[][]' '[[][][]]'
 '[[][]]' '[[][]][]' '[][]' '[][]' '[[][][]]' '[[][]][]' '[[][]]'
 '[[][][]][]' '[]' '[][]' '[][][]' '[[][][]]' '[][][]' '[]' '[][[][]]'
 '[[][][][]]' '[[][]]' '[][]' '[][]' '[]' '[[][]]' '[]' '[[][]]' '[][]'
 '[[][]][]' '[]' '[][][]' '[][]' '[[][]][]' '[][][]' '[][]' '[[][]]'
 '[][]' '[]' '[][]' '[][][]' '[][]' '[][]' '[][]' '[][]' '[[][]]' '[][]'
 '[[][][]]' '[][][]' '[][]' '[][][]' '[][]' '[[][]][]' '[[][]]' '[][][][]'
 '[][[][]]' '[][]' '[][]' '[][][]' '[[][]][]' '[][]' '[]' '[]' '[[][][]]'
 '[][[][]]' '[][][]' '[[][]]' '[][[][]]' '[][][]' '[]' '[][[][]]' '[][]'
 '[][]' '[][][]' '[][][][]' '[][]' '[][][]' '[][]' '[][]' '[]' '[[][][]]'
 '[][][]' '[[][][]]' '[][][]' '[][]' '[]' '[][]' '[]' '[][]' '[[][]]'
 '[][][]' '[][]' '[]' '[[][[][]]]' '[][]' '[[][]]' '[][]' '[[][]]'
 '[][][]' '[[][][]]' '[][]' '[[][]]' '[][[][]]' '[][][]' '[][]' '[][]'
 '[][][]' '[]']"," '[][]': 38, '[][][]': 20, '[]': 15, '[[][]]': 14, '[[][][]]': 9, '[][[][]]': 7, '[[][]][]': 7, '[][][][]': 4, '[[[][]][][]]': 1, '[[][][]][]': 1, '[[][][][]]': 1, '[[][[][]]]': 1 ",118,2.869097039,7.306077409
0,2,0,6,26,"['[][]' '[]' '[][]' '[][]' '[][]' '[[][]]' '[][]' '[][]' '[][][]' '[][]'
 '[][][]' '[][]' '[][[][]]' '[]' '[]' '[[][]]' '[[][]]' '[][][]' '[][]'
 '[[][]]' '[][]' '[][]' '[][][]' '[[][][]]' '[]' '[][][]' '[][][]'
 '[[][][]]' '[][][]' '[][]' '[][][]' '[][][[][]]' '[][]' '[]' '[[][][]]'
 '[][][]' '[]' '[][][]' '[][][]' '[][][]' '[[][]]' '[][]' '[][][]' '[]'
 '[][][]' '[][][]' '[[][][]][]' '[][][]' '[][]' '[[][][]][]' '[][]' '[]'
 '[][]' '[]' '[][]' '[][]' '[][][]' '[[][][]]' '[]' '[][][]' '[][]'
 '[[][]]' '[][]' '[][][]' '[[][]]' '[][][]' '[][]' '[][]' '[[][]]'
 '[][[][]]' '[][][]' '[][]' '[]' '[][]' '[][]' '[][]' '[][][]' '[]'
 '[[][]][]' '[]' '[][]' '[][]' '[]' '[][[][]]' '[][[][]]' '[][][]' '[][]'
 '[[][][]]' '[[][]]' '[]' '[][]' '[[][]]' '[][][]' '[][][]' '[][]'
 '[[][]]' '[][][]' '[[][]][]' '[[][]][][]' '[][][]' '[][]' '[][][]'
 '[][][]' '[[][]]' '[][]' '[]' '[][]' '[[][]][]' '[][][]' '[][][][]'
 '[][][]' '[][]' '[]' '[][]' '[][]' '[[][][]]']"," '[][]': 38, '[][][]': 31, '[]': 17, '[[][]]': 12, '[[][][]]': 6, '[][[][]]': 4, '[[][]][]': 3, '[[][][]][]': 2, '[][][[][]]': 1, '[[][]][][]': 1, '[][][][]': 1 ",116,2.584080892,5.996334613
1,2,0,8,30,"['[][]' '[][]' '[]' '[][]' '[]' '[[[][]][]]' '[[][]]' '[][]' '[][][]' '[]'
 '[]' '[[][]]' '[][][]' '[][][][]' '[]' '[[][]][]' '[[][]]' '[][]' '[][]'
 '[][]' '[]' '[[][][][]]' '[][[][]]' '[][][][]' '[][]' '[][][]' '[[][]]'
 '[]' '[[][]]' '[[][][]]' '[[][]]' '[][]' '[[][]]' '[][]' '[][][]'
 '[][[][]]' '[[][][]]' '[][[][]]' '[][]' '[][]' '[][][][]' '[][]' '[][]'
 '[[][]]' '[][][]' '[[[][]][]][]' '[][][][]' '[[][]][]' '[][[][]]' '[][]'
 '[[][]]' '[[][]]' '[[][][][]]' '[][][]' '[]' '[][]' '[][][]' '[][][]'
 '[][][]' '[][]' '[][]' '[]' '[[][][]]' '[[][][]]' '[]' '[][]' '[][][]'
 '[][[][][]]' '[][]' '[][]' '[]' '[[][]]' '[][]' '[][]' '[][]' '[][][]'
 '[][]' '[][]' '[[][]]' '[][][]' '[[][][]]' '[][]' '[[][]]' '[][][]'
 '[][]' '[[][]]' '[][][]' '[][]' '[[][][]]' '[][][][]' '[][][][]' '[][][]'
 '[[][]][]' '[][][]' '[][]' '[[][]]' '[][]' '[][]' '[]' '[][]' '[][]'
 '[][[][][]]' '[[][][]]' '[]' '[[][[][][]]]' '[[][][]]' '[][]' '[]'
 '[[][][]]' '[][[][]]' '[][[][][]]' '[][]' '[[][]]' '[][][]' '[][]']"," '[][]': 37, '[][][]': 17, '[[][]]': 16, '[]': 14, '[[][][]]': 9, '[][][][]': 6, '[][[][]]': 5, '[[][]][]': 3, '[][[][][]]': 3, '[[][][][]]': 2, '[[[][]][]]': 1, '[[[][]][]][]': 1, '[[][[][][]]]': 1 ",115,2.96115851,7.787490563
1,2,0,7,27,"['[[][]]' '[]' '[[][]]' '[][]' '[][]' '[[][]][]' '[][]' '[][]' '[][]'
 '[][][]' '[][]' '[][]' '[[][]][]' '[][][]' '[]' '[]' '[][]' '[][]'
 '[[][]]' '[]' '[[][]][]' '[[][][]]' '[][][]' '[]' '[][][]' '[][]'
 '[[][]]' '[][[][][]]' '[[][][][]]' '[][]' '[][][]' '[][[][]]' '[][]'
 '[[][][]]' '[][]' '[][]' '[][]' '[[][]][]' '[[][]][]' '[]' '[][][]'
 '[[][]]' '[][][]' '[][][]' '[][]' '[][]' '[][[][][]]' '[][[][]]' '[][]'
 '[][]' '[][][[][]]' '[][][]' '[[][]]' '[][][]' '[][]' '[[][]]' '[][]'
 '[]' '[[][][]]' '[][]' '[][]' '[][]' '[][[][]]' '[][][]' '[[][]]'
 '[[][]][]' '[][]' '[[][]][]' '[][]' '[][]' '[][]' '[][]' '[][]' '[][][]'
 '[][]' '[][][][]' '[]' '[][][]' '[[][]][]' '[][[][]]' '[[][]]' '[[][][]]'
 '[][]' '[][]' '[][]' '[[][][]]' '[[][]]' '[][]' '[][][]' '[][][]'
 '[][[][]]' '[][][]' '[][]' '[][]' '[]' '[][]' '[][][]' '[]' '[][][]'
 '[[][]]' '[[][]]' '[][][]' '[][]' '[[][]]' '[[][][]]' '[[][]]' '[][[][]]'
 '[][]' '[]' '[][]' '[][]' '[][]' '[][]' '[[][]]' '[][][]']"," '[][]': 44, '[][][]': 20, '[[][]]': 15, '[]': 11, '[[][]][]': 8, '[[][][]]': 6, '[][[][]]': 6, '[][[][][]]': 2, '[[][][][]]': 1, '[][][[][]]': 1, '[][][][]': 1 ",115,2.668705617,6.358584403
0,2,0,6,24,"['[[][]]' '[][]' '[]' '[][]' '[[][]]' '[][]' '[[][][]]' '[][[][]]'
 '[][][]' '[][]' '[]' '[][[][]]' '[[][]][]' '[][]' '[]' '[][]' '[][]'
 '[][]' '[][[][]]' '[[][]]' '[[][]]' '[]' '[[][][]]' '[][]' '[][]'
 '[][][]' '[][]' '[][][]' '[][]' '[][]' '[][]' '[]' '[][]' '[][]' '[][][]'
 '[][]' '[][]' '[][]' '[][]' '[[][[][]]]' '[][][]' '[][][]' '[][]'
 '[[][]][]' '[][][]' '[]' '[[][]]' '[[][][][]]' '[]' '[[][]]' '[[][]]'
 '[]' '[][][]' '[[][]][]' '[][]' '[][]' '[][][]' '[][][]' '[][][][]' '[]'
 '[[][]]' '[][[][]]' '[][][]' '[[][]]' '[][]' '[][][]' '[[][][]][]'
 '[[][]]' '[]' '[][][][]' '[[][][]]' '[[][][]]' '[][[][]]' '[][][]' '[][]'
 '[][][]' '[][][]' '[][][]' '[]' '[][]' '[][]' '[[][][]]' '[][][]'
 '[][][]' '[][]' '[][][][]' '[][]' '[][]' '[][[][]]' '[[][]][]' '[][[][]]'
 '[][]' '[[][]]' '[[][][]]' '[][][]' '[][]' '[][][]' '[]' '[[][]]' '[][]'
 '[]' '[][]' '[][[][]]' '[][[][]]' '[[][]]' '[][][]' '[][]' '[]' '[][][]'
 '[][]' '[[][]]' '[[][]]' '[][]' '[]']"," '[][]': 37, '[][][]': 22, '[[][]]': 15, '[]': 15, '[][[][]]': 9, '[[][][]]': 6, '[[][]][]': 4, '[][][][]': 3, '[[][[][]]]': 1, '[[][][][]]': 1, '[[][][]][]': 1 ",114,2.755188474,6.751408319
